Standort Name;Adresse
         Henkel La Luz S.A.;   Interamericas World Financial Center, Torre Norte, Nivel 15       Diagonal 6, 10-50       Zona 10       Ciudad Guatemal       Guatemala
         Henkel Diadema;   Rua Karl Huller, 136       CEP: 09941-410                            -             Diadema               -             SP       Brasil
         Henkel Capital S.A. de C.V.;   Lic. Angel Otero Rivero No. 8       Col. Industrias Tulpetlac       55107             Ecatepec Edo de Mex       Mexico
         Henkel Venezolana S.A.;   Calle 2, Carretera Nacional Guacara - San Joaqu’n       Zona Industrial Pruinca       Guacara - Estado de Carabobo       Venezuela
         Henkel La Luz S.A.;   KM. 18.5 Carretera Vieja Antigua 16-81       Zona 1       Mixco         Guatemala, C.A.       Guatemala
         Henkel Itapevi;   Avenida Professor Vernon Krieble, 91       CEP: 06690-070                            -             Itapevi               -             SP       Brasil
         Henkel Peruana S.A.;   Avenue Los Frutales 101       ATE - Vitarte       Lima       Peru
         Henkel Capital S.A. de C.V.;   Av. Chapultepec No. 2244       Col. Bueno Aires       64800             Monterrey, Nuevo Le—n       Mexico
         Henkel Capital S.A. de C.V.;   Calzada Azcapotzalco La Villa No 705       Col Industrial Vallejo       02300             México D.F.       Mexico
         Henkel Ecuatoriana S.A.;   Ed. Alpallana II, 6th floor       La Alpallana E7-212 y Diego de Almagro       Quito       Equador
         Henkel Chile Ltda.;   Avenida Laguna Sur 9551       Parque Industrial Puerto Santiago, Comuna de Pudahuel       9060987             Regi—n Metropolitana de Santiago       Chile
         Henkel Puerto Rico Inc.;   Quilinchini Avenue 9       00637             Sabana Grande       Puerto Rico
         Henkel Capital S.A. de C.V.;   Km 312 Carretera Panamericana Tramo Celaya-Salamanca       Salamanca Centro       36700             Salamanca Guanajuato       Mexico
         Henkel Costa Rica Ltda.;   100 Mts sur y 50 Mts Oeste de Celebrity Lovable       101-3007             San Joaquin de Flores,Heredia       Costa Rica
         Henkel Republica Dominicana SRL;   Calle Haim L—pez Penha #21       Ensanche Para’so       Santo Domingo,D.N.       Dominican Republic
         Henkel Capital S.A. de C.V.;   Paseo Tollocan esq Marie Curie S/N       Zona Industrial Toluca       50140             Toluca Edo de Mex       Mexico
         Henkel Capital S.A. de C.V.;   Carretera a San Pedro Totoltepec No. 107       Col. Coesillos       50246             Toluca Edo de Mex       Mexico
         Henkel Capital S.A. de C.V.;   Eje 3 Norte y Calle 4 Norte, Manzana E, Lote 1       Parque Industrial Toluca 2000       50200             Toluca Edo de Mex       Mexico
         Henkel Canada Corporation;   2515 Meadowpine Boulevard       L5N 6C3             Mississauga,Ontario       Canada
         Henkel Corporation;   One Henkel Way       Rocky Hill,               CT             06067       United States
         Novamelt Americas, LLC;   5608 Uwharrie Road       Archdale,               NC             27263       United States
         Henkel Corporation;   2850 Willow Pass Road       Bay Point,               CA             94565       United States
         Henkel Corporation;   742 Grayson Street       Berkeley,               CA             94710       United States
         The Bergquist Company;   61959 State Hwy 38       Bigfork,               MN             56628       United States
         The Bergquist Company;   600 Willow Street       Brandon,               SD             57005       United States
         Henkel Corporation;   10 Finderne Avenue       Bridgewater,               NJ             08807       United States
         Henkel Corporation;   923 Mauldin Road N. W.       Calhoun,               GA             30701       United States
         The Bergquist Company;   301 Washington Street West       Cannon Falls,               MN             55009       United States
         Henkel Corporation;   203 MacKenan Court       Cary,               NC             27511       United States
         The Bergquist Company;   18930 West 78th Street       Chanhassen,               MN             55317       United States
         Henkel Consumer Goods Inc.;   9115 Harris Corners Parkway, Suite 30       Charlotte,               NC             28269       United States
         Sexy Hair Concepts, LLC;   21551 Prairie Street       Chatsworth,               CA             91311       United States
         Henkel Corporation;   9435 Waterstone Boulevard, Suite 200       Cincinnati,               OH             45249       United States
         Henkel Corporation;   18731 Cranwood Parkway       Cleveland,               OH             44128       United States
         Henkel Consumer Goods Inc.;   600 Corporate Pointe, Suite 400       Culver City,               CA             90230       United States
         Henkel Corporation;   421 London Road       Delaware,               OH             43015       United States
         Henkel Corporation;   1345 Gasket Drive       Elgin,               IL             60120       United States
         Henkel Corporation;   14351 Highway 221       Enoree,               SC             29335       United States
         Henkel Corporation;   9 Furman Hall Court       Greenville,               SC             29609       United States
         Kenra Professional, LLC;   22 East Washington Street       Indianapolis,               IN             46204       United States
         Henkel Corporation;   14000 Jamboree Road       Irvine,               CA             92606       United States
         Henkel Corporation;   1600 Executive Drive       LaGrange,               GA             30240       United States
         Henkel Corporation;   7101 Logistics Drive       Louisville,               KY             40258       United States
         Henkel Corporation;   32100 Stephenson Highway       Madison Heights,               MI             48071       United States
         Henkel Corporation;   4035 Senator Street       Memphis,               TN             38118       United States
         Henkel Corporation;   7405 Production Drive       Mentor,               OH             44060       United States
         Henkel Consumer Goods Inc.;   800 Marquette Avenue, Ste. 905E       Minneapolis,               MN             55402       United States
         Henkel Corporation;   6200 Millcreek Drive       L5N OB5             Mississauga,Ontario       Canada
         Henkel Corporation;   150 Fairview Road, Suite 255       Mooresville,               NC             28117       United States
         Henkel Corporation;   210 Athens Way       Nashville,               TN             37228       United States
         Alterna Holdings Corp;   551 5th Ave 27th Fl       New York,               NY             10176       United States
         Henkel Corporation;   1350 Taney Street       North Kansas City,               MO             64116       United States
         Henkel Corporation;   420 W. Marquette Avenue       Oak Creek,               WI             53154       United States
         The Bergquist Company;   1600 Orrin Road       Prescott,               WI             54021       United States
         Henkel Corporation;   20021 Susana Road       Rancho Dominguez,               CA             90221       United States
         Henkel Corporation;   201 Highway 10 East       Richmond,               MO             64085       United States
         Henkel Corporation;   4414 Sarellen Road       Richmond,               VA             23231       United States
         Henkel Corporation and Henkel Consumer Goods Inc.;   2113 South 54th Street, Suite 2       Rogers,               AR             72758       United States
         Henkel Corporation;   825 Cedar Springs Road, Unit H       Salisbury,               NC             28147       United States
         Henkel Consumer Goods Inc.;   7201 E. Henkel Way       Scottsdale,               AZ             85255       United States
         Henkel Corporation;   167 Batchelder Road       Seabrook,               NH             03874       United States
         Henkel Resin Technology Group LLC;   28 Norfolk Avenue       South Easton,               MA             02375       United States
         Henkel Corporation;   Building 106       730 Worcester Street       Springfield,               MA             01151       United States
         Henkel Consumer Goods Inc.;   6901 McKissock Avenue       St. Louis,               MO             63147       United States
         Henkel ASK Academy;   171 John Street, 2nd Floor       M5T 1X3             Toronto,Ontario       Canada
         The Bergquist Company;   89 Commercial Blvd       Torrington,               CT             06790       United States
         Henkel Corporation;   23343 Sherwood Avenue       Warren,               MI             48091       United States
         Henkel Consumer Goods Inc.;   125 JayCee Drive       Valmont Industrial Park       West Hazleton,               PA             18202       United States
         Henkel Corporation;   26235 First Street       Westlake,               OH             44145       United States
