Standort Name;Adresse
Henkel AG & Co. KGaA;"Henkel Teroson Stra§e 57
      69112
            Heidelberg
      Germany"
Henkel AG & Co. KGaA;"Rudolf-Breitscheid-Str. 41
      01809
            Heidenau
      Germany"
Boston Scandinavia AB;"Berga Allé 1
      254 52
            Helsingborg
      Sweden"
Henkel Norden Oy;"Eteläinen Rautatienkatu 12 / Runeberginkatu 5
      00100
            Helsinki
      Finland"
Henkel AG & Co. KGaA;"Collardinstra§e
      35745
            Herborn-Schänbach
      Germany"
Henkel Srbija d.o.o.;"Save Kova_evi_a bb
      22000
            Indjija
      Serbia"
Henkel Bautechnik;"Building 9d
      Roza settlement, Schorsa street-side
      Chelyabinsk region
        140413
            Korkino
      Russia"
Henkel AG & Co. KGaA;"Hentrichstr. 17-25
      47809
            Krefeld
      Germany"
Henkel Magyarország Kft.;"Üveggyár utca 10.
      2851
            Kärnye
      Hungary"
Punch Industries (UK) Ltd.;"Wallingstown
      Little Island Co. Cork
      Ireland"
Henkel Slovenija d.o.o.;"Barjanska cesta 54
      1000
            Ljubljana
      Slovenia"
Henkel Italia Srl;"Viale Como 22
      22074
            Lomazzo (CO)
      Italy"
Henkel Italia Srl;"Viale Como 22
      22074
            Lomazzo (CO)
      Italy"
Schwarzkopf ASK Education Academy;"74 - 78 Seymour Place
      London,
              Berks
            W1H 2EH
      United Kingdom"
Henkel Ibérica S.A.;"L—pez de Hoyos 5, bis bajos izda
      28006
            Madrid
      Espa–a"
Henkel Slovenija d.o.o.;"Industrijska ulica 23
      2506
            Maribor
      Slovenia"
Henkel Ibérica S.A.;"Vial norte, 2
      Pol. Ind. Concentraci— Industrial La Vallesana (Riera Marsá)
      08170
            Montornés del Vallés (Barcelona)
      Spain"
OOO Henkel RUS;"Business center ""Europe House""
      Kolokolnikov pereulok, 11
      107045
            Moscow
      Russia"
OOO Wellchem;"
  Industrial area 1
      Severo-zapadnee 2km poselka imeni Vorovskogo
      Noginsk area
        Moscow region
      "
Henkel Adhesive Technologies Norden AB;"Torsgatan 12
      Box 120 33
        600 12
            Norrkäping
      Sverige"
Henkel Adhesive Technologies Norden AB;"Torsgatan 12
      Box 120 33
        600 12
            Norrkäping
      Sweden"
Henkel Bautechnik;"
  Industrial area 27
      v. Marusino Krivodanovskogo selsoveta
      Novosibirsk region
      "
Henkel Norden AB;"Karenslyst Allé 8b
      0278
            Oslo
      Norway"
Henkel Polska Sp. z o.o.;"ul. Ceramiczna 7, O_tarzew
      05-850
            O_ar—w Mazowiecki
      Poland"
OOO Henkel RUS;"Lasvinskaya street, 88
      Perm krai
      614113
            Perm
      Russia"
Henkel AG & Co. KGaA;"Hausberger Stra§e 14
      32457
            Porta Westfalica
      Germany"
Henkel CR, spol. s.r.o.;"U Pruhonu 10
      17004
            Prague7
      Czech Republic"
Henkel & Cie. AG;"Salinenstrasse 61
      4133
            Pratteln
      Switzerland"
Henkel Makroflex AS;"Savi 12
      80010
            Pärnu
      Estonia"
Henkel Polska Sp. z o.o.;"ul. Stalowa 9
      47-400
            Racib—rz
      Poland"
Henkel Ltd.;"Betchworth House
      57-65 Station Road
      Redhill,
            RH1 1DL
      United Kingdom"
Spotless Punch Ltd.;"Betchworth House
      57-65 Station Road
      Redhill,
            RH1 1DL
      United Kingdom"
Henkel Latvia SIA;"Ropazu iela 10/B2
      1039
            Riga
      Latvia"
Henkel France S.A.S.;"2, Rue des ƒtangs
      B. P. 539
        77140
            Saint Pierre les Nemours
      France"
Henkel Technologies France S.A.S.;"Parc Aktiland
      1 rue de Lombardie
      69400
            Saint-Priest
      France"
Eau Ecarlate SAS;"28, rue de la Résistance
      91707
            Sainte-Genevive-des-Bois Cedex
      France"
Henkel BH d.o.o.;"Trg. Solidarnosti 2A
      71000
            Sarajevo
      Bosnia-Herzegovina"
Henkel Technologies France S.A.S.;"Arlington Square
      Parc d'entreprises du Val d'Europe
      8 Boulevard Michael Farada
      77716
            Serris, Marne la Vallée cedex 4
      France"
Henkel Ltd.;"957/958 Buckingham Avenue
      Slough,
              Berks
            SL1 4NL
      United Kingdom"
Henkel Bulgaria EOOD;"Building 2, floor 4
      Mladost 4
      1766
            Sofia
      Bulgaria"
Henkel Bautechnik;"Torgovaya Street 41
      Kochubeevskoye Village
      Kochubeevsky Region
        357000
            Stavropol Region
      Russia"
Henkel Polska Sp. z o.o.;"64-905
            Stobno
      Poland"
Henkel Polska Sp. z o.o.;"Stara G—ra, skrytka pocztowa 24
      26-220
            St_pork—w
      Poland"
Henkel Makroflex AS;"S›pruse pst. 145
      13417
            Tallinn
      Estonia"
Henkel Ibérica Adhesive Technologies;"Av. Paisos Catalans 16
      43007
            Tarragona
      Spain"
OOO Henkel RUS;"Moskovskoye Shosse, 1
      Leningrad Region
      187000
            Tosno
      Russia"
Henkel Polska Sp. z o.o.;"ul. Tury_ska 100
      (teren Fiat Auto Poland / spawalnia)
      43-100
            Tychy
      Poland"
Henkel Bautechnik;"Building 1
      Estonskoe pole
      Sengeleevsky district, MO Tushninskoe selskoe poselenie
      433390
            Ulyanovsk
      Russia"
Henkel AG & Co. KGaA;"Hansastr. 118
      59425
            Unna
      Germany"
Henkel Norden Oy;"Mäenpäänkatu 3
      37630
            Valkeaskoski
      Finland"
Henkel Norden Oy (Production plant);"Mäenpäänkatu 3
      37630
            Valkeaskoski
      Suomi"
Henkel Technologies France S.A.S.;"1 Avenue des Bouleaux
      Parc Alata
      60550
            Verneuil-en-Halatte
      France"
Henkel Central Eastern Europe GmbH;"Erdbergstra§e 29
      1030
            Vienna
      Austria"
Schwarzkopf & Henkel Production Europe GmbH & Co. KG;"Amerner Weg 7
      41751
            Viersen
      Germany"
Henkel Technologies France S.A.S.;"299 Rue de Grange Morin
      Zone Industrielle Nord, Arnas
      B. P. 438
        69655
            Villefranche sur Sa™ne
      France"
Henkel Bautechnik (Ukraine) TOW;"2, Novopromyslova Street
      07300
            Vyshghorod
      Ukraine"
Schwarzkopf & Henkel Production Europe GmbH & Co. KG;"Martha-Schwarzkopf-Stra§e 10
      91717
            Wassertrüdingen
      Germany"
Novamelt GmbH;"…flinger Strasse 120
      79664
            Wehr
      Germany"
Henkel Electronic Materials (Belgium) N.V.;"Nijverheidsstraat 7
      2260
            Westerlo
      Belgium"
Henkel Ltd.;"Road 5
      Winsford Industrial Estate
      Winsford,
              Cheshire
            CW7 3QY
      United Kingdom"
Henkel Croatia D.O.O.;"Budmanijeva 1
      10000
            Zagreb
      Croatia"
Henkel Bautechnik TAA;"Stroitelnaya Str., 1-1
      Minsk district
      223036
            Zaslavl,
      Belarus"
Henkel Italia Srl;"Via Madrid 21
      24040
            Zingonia di Verdellino (BG)
      Italy"
Henkel Italia Srl;"Via Madrid 21
      24040
            Zingonia di Verdellino (BG)
      Italy"
         Henkel South Africa (Pty.) Ltd.;   55 Potgieter Street       Alrode Ext 4       1451             ,Alberton       South Africa
         Henkel Jordan;   Marka       Next to Marka Bridge and Toyota spare parts warehouse       P. O. Box 7809         Amman             11118       Jordan
         Henkel Egypt;   12 Kamal El-Din Hussien Street       behind Fairmont Towers Hotel, Heliopolis       Cairo       Egypt
         Henkel South Africa (Pty.) Ltd.;   Unit B42 - 43       4 New Mill Road, Pinelands       Pinelands Business Park       7405             ,Cape Town, Western Cape       South Africa
         Henkel Algérie S.P.A.;   22 rue Ahmed Ouaked       Bois des Cars III       16320             Dely-Ibrahim       Algeria
         Henkel Jebel Ali FZCO;   Block F, 4th floor       Silicon Oasis       Dubai       United Arab Emirate
         Türk Henkel Kimya San. ve Tic. A._.;   No:8 Buyaka _ki Sitesi, C Blok, K: 10-14       Fatih Sultan Mehmet Mah. Poligon Cad       34752             Ümraniye,Istanbul       Turkey
         Henkel Kenya Ltd.;   Outer Ring Road       00100             Nairobi       Kenya
         Henkel Soad Ltd.;   4 Arie Regev Street       P. O. Box 8167         4209001             Netanya       Israel
         Henkel South Africa (Pty.) Ltd.;   205 Grahamstown Road       Deal Party       6012             ,Port Elizabeth, Eastern Cape       South Africa
         Henkel South Africa (Pty.) Ltd.;   82 Roan Crescent       Corporate Park North       1683             ,Randjiesfontein, Gauteng       South Africa
         Henkel South Africa (Pty.) Ltd.;   Unit D       10 Kubu Park Close       Big 5 Business Park       4017             ,Riverhorse Valley, KwaZulu-Natal       South Africa
         Henkel Saudi Arabia Detergents Co. Ltd.;   New Industrial City       2nd Zone-D       P. O. Box 25790         11476             Riyadh       Saudi-Arabia
         Henkel Tunisie S.A.;   Résidence les jardins du Lac       Imm. Idriss, Les Berges du Lac 2       P. O. Box 419         1053             Tunis       Tunisia
