id,content,time,retweets,favorites
644074401642606592,"#UCL #OLYFCB @FCBayern Matchday 1 - #PartOfMario  #packmas pic.twitter.com/7rRrWcwuno",02:04 - 16. Sep. 2015,498,1.494
643748044559806464,"#UCL #OLYFCB @XabiAlonso @Manuel_Neuer @David_Alaba @Sebastianrode20 @FCBayern  pic.twitter.com/ih4hDedVFA",04:27 - 15. Sep. 2015,725,2.054
643369401044074496,"Another Birthday „kid“!!  @douglascosta Tudo de bom no seu aniversário  @FCBayern pic.twitter.com/zHXIBI3Zn0",03:23 - 14. Sep. 2015,640,1.735
643115137520533504,"Happy Birthday @esmuellert_ - Alles Gute Mul  pic.twitter.com/KJvJzsOltD",10:32 - 13. Sep. 2015,1.189,2.976
642346151417675776,"Happy Birthday Franz @beckenbauer  Alles Gute. #Kaiser70 pic.twitter.com/Xkjxh3U87C",07:37 - 11. Sep. 2015,524,1.585
641526653525561344,"Glückwunsch @David_Alaba - Glückwunsch  Wir sehen uns  #Euro2016  https://twitter.com/david_alaba/status/641366103617200128 …",01:20 - 9. Sep. 2015,346,1.301
641182104848625664,"!!!!!!!! #refugeeswelcome !!!!!!! https://twitter.com/emwatson/status/640799569173958656 …",02:31 - 8. Sep. 2015,1.068,1.986
641153548500213760,"2 Spiele - 6 Punkte!  Als Spitzenreiter gehts zurück nach München! #PartOfMario  @DFB_Team pic.twitter.com/XV7mohA26G",00:38 - 8. Sep. 2015,519,1.615
639909072356122627,"Kein einfaches Spiel, aber Spaß hat's gemacht. Spitzenreiter!!!  @DFB_Team  pic.twitter.com/skvamxrTv5",14:13 - 4. Sep. 2015,1.218,3.211
639517434131709953,"Tomorrow #GERPOL  https://twitter.com/dfb_team_en/status/639436351243468800 …",12:16 - 3. Sep. 2015,389,1.168
639485344182837248,"My favourites: In the night! & As you are! What about you? #PartOfMario  https://twitter.com/theweeknd/status/639180606727827456 …",10:09 - 3. Sep. 2015,319,971
639483902067875841,"Happyyyyyyyy Birthday!!!!  @JB17Official - All the best!",10:03 - 3. Sep. 2015,520,1.487
639401164241567744,"Fans!  https://twitter.com/dfb_team/status/639399247612411904 …",04:34 - 3. Sep. 2015,365,1.315
638999751824941056,"Good Morning! #training @MustafiOfficial @DFB_Team #smile #PartOfMario pic.twitter.com/DHcLKtf0C5",01:59 - 2. Sep. 2015,811,2.256
638996884514832384,"Training Nationalmannschaft - Zweikampf gegen den Bundestrainer pic.twitter.com/VQOTUGlxMA",01:48 - 2. Sep. 2015,441,1.589
638439286669463552,"Bevor es zum @DFB_Team ging war ich bei @nestwaerme! Sehr bewegend und beeindruckend, was dort geleistet wird. pic.twitter.com/Q6z69Qy5Bf",12:52 - 31. Aug. 2015,478,1.842
637903464610316288,"#FCBLEV 3 Punkte! Gleich gehts zum Traumspiel nach Deggendorf! Schönen Sonntag! @esmuellert_  pic.twitter.com/uKETYkNFZR",01:23 - 30. Aug. 2015,495,1.677
637540127615619072,"It is Matchday! @bundesliga_de @FCBayern vs. @bayer04fussball - Auf geht's!  #PartOfMario pic.twitter.com/hNPX3JBKQ0",01:19 - 29. Aug. 2015,491,1.517
637275852749848576,"#beautybehindthemadness GREAT   https://twitter.com/theweeknd/status/637102837751660544 …",07:49 - 28. Aug. 2015,382,982
637243733864546304,"Munich sky! ???????? How does the sky look like where you are? #PartOfMario #Summer pic.twitter.com/WNWo6U4UFe",05:42 - 28. Aug. 2015,342,1.255
637229201419051009,"Hallo von der Säbener Strasse!  @FCBayern @Badstuber @Thiago6 @Sebastianrode20 #Joshua #Kimmich  #PartOfMario pic.twitter.com/feC1apajMv",04:44 - 28. Aug. 2015,596,1.797
636948183688552448,".@ChampionsLeague here we come. @Arsenal again  @mertesacker @MesutOzil1088 #Piräus #Zagreb Looking forward!  https://twitter.com/fcbayern/status/636943954760609792 …",10:07 - 27. Aug. 2015,1.754,1.921
636575327414829056,"#training @FCBayern  pic.twitter.com/XCWjzotOzo",09:25 - 26. Aug. 2015,627,2.050
636512959938867200,"Training & Shooting day yesterday. #Paulaner #Armani @FCBayern  #PartOfMario pic.twitter.com/wYDpY2Zmtr",05:18 - 26. Aug. 2015,788,2.031
636094268327784448,"https://twitter.com/bild/status/636093414753173504 …",01:34 - 25. Aug. 2015,242,1.089
635715667803668480,"Back to the roots.  #Ronsberg pic.twitter.com/ULoCSQrT4a",00:30 - 24. Aug. 2015,641,2.149
635447489794035712,"Guter fight und 3 Punkte. Wünsche Euch nen schönen Sonntag. @FCBayern  pic.twitter.com/gx2f2EMQqL",06:44 - 23. Aug. 2015,437,1.554
635150439831470080,"Close match but WE have 3 points! #TSGFCB @FCBayern On our way back @dante_bonfim. Have a great weekend! pic.twitter.com/i4aQtmPAxS",11:04 - 22. Aug. 2015,825,2.592
634976332720553985,"Guten Morgen! Es ist wieder Spieltag! @achtzehn99 vs. @FCBayern  #TSGFCB #Bundesliga  pic.twitter.com/PVmFvvJtG5",23:32 - 21. Aug. 2015,472,1.535
634746835626758144,"Happy Birthday Robert!  @lewy_official pic.twitter.com/TZwkmIaIZO",08:20 - 21. Aug. 2015,1.711,3.857
634045102290300928,"Kino: next one SouthpawHol Dir meine persönliche App: http://bit.ly/1SC7kvW  pic.twitter.com/SMcVE9AMec",09:51 - 19. Aug. 2015,379,1.579
633898276576755712,"https://twitter.com/kuhlmann_laura/status/633564207477334016 …",00:08 - 19. Aug. 2015,196,948
632574062116667392,"Our great fans! @FCBayern pic.twitter.com/lhlSEj2eCW",08:26 - 15. Aug. 2015,849,2.535
632514989249679360,"Great atmosphere yesterday! Good start in #Bundesliga@FCBayern @douglascosta @esmuellert_ @David_Alaba pic.twitter.com/UsfnWZ9ggj",04:31 - 15. Aug. 2015,704,1.930
631900923917434880,"Healthy shopping today. #viktualienmarkt #munich  pic.twitter.com/ohGWa67nVM",11:51 - 13. Aug. 2015,624,2.151
631558839675043840,"Good Night! #BeHappy  https://twitter.com/sports_greats/status/631202319162560512 …",13:12 - 12. Aug. 2015,373,1.168
631197998723256320,"A wonderful day is over! Good night! #starnbergersee  pic.twitter.com/LdeCDInF1P",13:18 - 11. Aug. 2015,729,2.286
631002485252071424,"Cinema evening yesterday! #StraightOuttaCompton - today off and relax  Have a nice day! pic.twitter.com/l15N7SmPDg",00:21 - 11. Aug. 2015,438,1.646
630060367251701768,"https://twitter.com/jb17official/status/630034309051740160 …",09:57 - 8. Aug. 2015,322,1.064
628876485420580864,"#AudiCup final tonight @FCBayern vs. @realmadrid - What is your tip? pic.twitter.com/k5DZCpI9ST",03:33 - 5. Aug. 2015,663,1.769
626839427587948546,"Couldn't withhold my Top 3 - cheering pictures   pic.twitter.com/ThGvJAotOh",12:39 - 30. Jul. 2015,388,1.437
626768574510669824,"Guten Appetit!!  pic.twitter.com/AETu2hP6BL",07:57 - 30. Jul. 2015,457,1.809
626746417017671680,"#Training @FCBayern @Sebastianrode20  pic.twitter.com/iIDLUP76Fm",06:29 - 30. Jul. 2015,662,1.887
626745999973871616,"https://twitter.com/fcbayern/status/626663702637473792 …",06:27 - 30. Jul. 2015,295,908
626374807479824384,"Haha this would be great! #hollywood  https://twitter.com/david_alaba/status/626349333714182145 …",05:52 - 29. Jul. 2015,444,1.223
625363446155116544,"Idol!  https://twitter.com/usainbolt/status/624708437235101696 …",10:53 - 26. Jul. 2015,343,1.099
624999281628479488,"#sun #relax on monday preparation continues...! @FCBayern  pic.twitter.com/qBeFiL2uHV",10:46 - 25. Jul. 2015,482,1.614
624605881271873536,"https://twitter.com/audifootball/status/624564181333864448 …",08:43 - 24. Jul. 2015,275,836
624482975636418562,"Back again in Germany! Thank you China!  @FCBayern #AudiFCBtour  pic.twitter.com/2n4Ys0Qjcf",00:35 - 24. Jul. 2015,648,1.911
623828529348780032,"Arrived in #Guangzhou @FCBayern #AudiFCBtour - another great welcome! Thank you fans!  pic.twitter.com/zCIHcXKmiV",05:14 - 22. Jul. 2015,520,1.565
623514396623511552,"#AudiFCBtour 1:0 victory against @Inter - great atmosphere and great assist @Sebastianrode20  @FCBayern pic.twitter.com/cnxZ7cnrgE",08:26 - 21. Jul. 2015,624,1.640
623116280321716226,"#AudiFCBtour #Shanghai @FCBayern @lewy_official @David_Alaba @douglascosta  pic.twitter.com/S4RlRlnlje",06:04 - 20. Jul. 2015,626,1.661
622810010481991680,"https://twitter.com/david_alaba/status/622795726498701312 …",09:47 - 19. Jul. 2015,405,1.164
622337018933190656,"My view over Beijing #AudiFCBtour  pic.twitter.com/QjE6rlDeMV",02:28 - 18. Jul. 2015,488,1.669
622029316398956544,"Arrived in Bejing. Thanks for the great welcome. #AudiFCBtour pic.twitter.com/yrnpGhzWvX",06:05 - 17. Jul. 2015,715,2.192
621739978733785088,"Departure to China! Next Stop: Beijing! #Audi Summer Tour 2015 @JB17Official @FCBayern  pic.twitter.com/ClolUMtBpi",10:55 - 16. Jul. 2015,725,2.226
620694628778553344,"Der musste sein!!!  @mannschaft @DFB_Team #WorldChampions pic.twitter.com/luu4TdhkeH",13:41 - 13. Jul. 2015,3.768,5.853
620670332886753280,"One year ago! Still unbelievable! #DieMannschaft @DFB_Team #WorldChampions pic.twitter.com/IUqWjuorO3",12:05 - 13. Jul. 2015,3.178,4.594
620591633294299136,"https://twitter.com/beatsbydrede/status/620297867740057600 …",06:52 - 13. Jul. 2015,531,1.505
620539225310691328,"Workout and Performance test! @FCBayern pic.twitter.com/dBmhbwnKXM",03:24 - 13. Jul. 2015,647,1.904
620300282157793280,"Congrats @DjokerNole!!!!  https://twitter.com/wimbledon/status/620269248917671936 …",11:34 - 12. Jul. 2015,402,1.072
